"Ecole","Année scolaire","Effectif"
"AGENETS ELEMENTAIRE","2010-2011",166
"AGENETS MATERNELLE","2010-2011",129
"ALAIN FOURNIER ELEMENTAIRE","2010-2011",134
"ALAIN FOURNIER MATERNELLE","2010-2011",114
"ALPHONSE BRAUD PRIMAIRE","2010-2011",139
"AMPERE PRIMAIRE","2010-2011",280
"ANATOLE DE MONZIE ELEMENTAIRE","2010-2011",86
"ANDRE LERMITE ELEMENTAIRE","2010-2011",164
"ANGE GUEPIN ELEMENTAIRE","2010-2011",118
"BARBERIE MATERNELLE","2010-2011",84
"BARBERIE-MULOTIERE ELEMENTAIRE","2010-2011",159
"BATIGNOLLES ELEMENTAIRE","2010-2011",148
"BATIGNOLLES MATERNELLE","2010-2011",118
"BAUT ELEMENTAIRE","2010-2011",98
"BAUT MATERNELLE","2010-2011",77
"BEAUJOIRE ELEMENTAIRE","2010-2011",119
"BEAUJOIRE MATERNELLE","2010-2011",97
"BOCCAGE ELEMENTAIRE","2010-2011",128
"BOCCAGE MATERNELLE","2010-2011",83
"BOTTIERE ELEMENTAIRE","2010-2011",172
"BOTTIERE MATERNELLE","2010-2011",162
"CAMILLE CLAUDEL MATERNELLE","2010-2011",92
"CHAMPENOIS ELEMENTAIRE","2010-2011",116
"CHARLES LEBOURG PRIMAIRE","2010-2011",169
"CHATAIGNIERS ELEMENTAIRE","2010-2011",112
"CHATAIGNIERS MATERNELLE","2010-2011",85
"CHAUVINIERE ELEMENTAIRE","2010-2011",140
"CHAUVINIERE MATERNELLE","2010-2011",94
"CHENE D'ARON ELEMENTAIRE","2010-2011",145
"CHENE D'ARON MATERNELLE","2010-2011",78
"CONTRIE ELEMENTAIRE","2010-2011",193
"CONTRIE MATERNELLE","2010-2011",106
"COTE D'OR MATERNELLE","2010-2011",66
"COUDRAY ELEMENTAIRE","2010-2011",123
"COUDRAY MATERNELLE","2010-2011",103
"DERVALLIERES CHEZINE ELEMENTAIRE","2010-2011",167
"DERVALLIERES CHEZINE MATERNELLE","2010-2011",140
"DOCTEUR TEILLAIS MATERNELLE","2010-2011",141
"EMILE PEHANT ELEMENTAIRE","2010-2011",174
"EMILE PEHANT MATERNELLE","2010-2011",105
"FELLONNEAU ELEMENTAIRE","2010-2011",142
"FELLONNEAU MATERNELLE","2010-2011",111
"FONTENY MATERNELLE","2010-2011",145
"FRANCOIS DALLET ELEMENTAIRE","2010-2011",198
"FRANCOISE DOLTO PRIMAIRE","2010-2011",191
"FRATERNITE ELEMENTAIRE","2010-2011",261
"FREDUREAU MATERNELLE","2010-2011",106
"GARENNES ELEMENTAIRE","2010-2011",124
"GASTON SERPETTE ELEMENTAIRE","2010-2011",197
"GASTON SERPETTE MATERNELLE","2010-2011",113
"GAY LUSSAC PRIMAIRE","2010-2011",228
"GEORGE SAND ELEMENTAIRE","2010-2011",213
"GEORGES BRASSENS MATERNELLE","2010-2011",116
"GEORGES LAFONT MATERNELLE","2010-2011",80
"GRAND CARCOUET PRIMAIRE","2010-2011",141
"GUSTAVE ROCH ELEMENTAIRE","2010-2011",117
"GUSTAVE ROCH MATERNELLE","2010-2011",116
"HAROUYS ELEMENTAIRE","2010-2011",167
"HAROUYS MATERNELLE","2010-2011",89
"HENRI BERGSON ELEMENTAIRE","2010-2011",130
"HENRI BERGSON MATERNELLE","2010-2011",117
"JACQUES PREVERT ELEMENTAIRE","2010-2011",116
"JACQUES PREVERT MATERNELLE","2010-2011",118
"JACQUES TATI PRIMAIRE","2010-2011",185
"JEAN JAURES ELEMENTAIRE","2010-2011",121
"JEAN MOULIN ELEMENTAIRE","2010-2011",108
"JEAN MOULIN MATERNELLE","2010-2011",146
"JEAN ZAY ELEMENTAIRE","2010-2011",261
"JEAN ZAY I MATERNELLE","2010-2011",119
"JEAN ZAY II MATERNELLE","2010-2011",94
"JONELIERE PRIMAIRE","2010-2011",196
"JOSEPH BLANCHART MATERNELLE","2010-2011",101
"JULIEN GRACQ PRIMAIRE","2010-2011",141
"LAMORICIERE MATERNELLE","2010-2011",139
"LEDRU ROLLIN ELEMENTAIRE","2010-2011",319
"LEON BLUM ELEMENTAIRE","2010-2011",177
"LEON SAY ELEMENTAIRE","2010-2011",211
"LEON SAY MATERNELLE","2010-2011",115
"LINOT ELEMENTAIRE","2010-2011",108
"LINOT MATERNELLE","2010-2011",71
"LONGCHAMP PRIMAIRE","2010-2011",456
"LOUIS GUIOTTON MATERNELLE","2010-2011",81
"LOUIS PERGAUD ELEMENTAIRE","2010-2011",259
"LOUIS PERGAUD MATERNELLE","2010-2011",149
"LOUISE MICHEL ELEMENTAIRE","2010-2011",224
"LOUISE MICHEL MATERNELLE","2010-2011",141
"LUCIE AUBRAC ELEMENTAIRE","2010-2011",84
"LUCIE AUBRAC MATERNELLE","2010-2011",93
"MAISDON PAJOT MATERNELLE","2010-2011",199
"MAISON NEUVE PRIMAIRE","2010-2011",185
"MARSAUDERIES ELEMENTAIRE","2010-2011",274
"MARSAUDERIES MATERNELLE","2010-2011",217
"MAURICE MACE ELEMENTAIRE","2010-2011",293
"MAURICE MACE MATERNELLE","2010-2011",197
"MOLIERE MATERNELLE","2010-2011",123
"MUTUALITE ELEMENTAIRE","2010-2011",330
"PAUL GAUGUIN PRIMAIRE","2010-2011",244
"PAULINE KERGOMARD MATERNELLE","2010-2011",116
"PLANTES ELEMENTAIRE","2010-2011",87
"PLANTES MATERNELLE","2010-2011",75
"PLESSIS CELLIER ELEMENTAIRE","2010-2011",192
"PLESSIS CELLIER MATERNELLE","2010-2011",118
"PORT BOYER ELEMENTAIRE","2010-2011",165
"PORT BOYER MATERNELLE","2010-2011",137
"REFORMES PRIMAIRE","2010-2011",119
"RUE NOIRE PRIMAIRE","2010-2011",183
"SARAH BERNHARDT MATERNELLE","2010-2011",188
"STALINGRAD ELEMENTAIRE","2010-2011",121
"STALINGRAD MATERNELLE","2010-2011",103
"SULLY ELEMENTAIRE","2010-2011",210
"SULLY MATERNELLE","2010-2011",123
"URBAIN LE VERRIER ELEMENTAIRE","2010-2011",195
"URBAIN LE VERRIER MATERNELLE","2010-2011",172
"VILLA MARIA PRIMAIRE","2010-2011",117
"AGENETS ELEMENTAIRE","2011-2012",188
"AGENETS MATERNELLE","2011-2012",136
"ALAIN FOURNIER ELEMENTAIRE","2011-2012",144
"ALAIN FOURNIER MATERNELLE","2011-2012",107
"ALPHONSE BRAUD PRIMAIRE","2011-2012",158
"AMPERE PRIMAIRE","2011-2012",272
"ANATOLE DE MONZIE ELEMENTAIRE","2011-2012",102
"ANDRE LERMITE ELEMENTAIRE","2011-2012",162
"ANGE GUEPIN ELEMENTAIRE","2011-2012",128
"BARBERIE MATERNELLE","2011-2012",88
"BARBERIE-MULOTIERE ELEMENTAIRE","2011-2012",153
"BATIGNOLLES ELEMENTAIRE","2011-2012",156
"BATIGNOLLES MATERNELLE","2011-2012",97
"BATIGNOLLES bilingue ""Français/Breton""","2011-2012",17
"BAUT ELEMENTAIRE","2011-2012",102
"BAUT MATERNELLE","2011-2012",72
"BEAUJOIRE ELEMENTAIRE","2011-2012",117
"BEAUJOIRE MATERNELLE","2011-2012",98
"BOCCAGE ELEMENTAIRE","2011-2012",130
"BOCCAGE MATERNELLE","2011-2012",80
"BOTTIERE ELEMENTAIRE","2011-2012",193
"BOTTIERE MATERNELLE","2011-2012",159
"CAMILLE CLAUDEL MATERNELLE","2011-2012",84
"CHAMPENOIS ELEMENTAIRE","2011-2012",118
"CHARLES LEBOURG PRIMAIRE","2011-2012",177
"CHATAIGNIERS ELEMENTAIRE","2011-2012",123
"CHATAIGNIERS MATERNELLE","2011-2012",89
"CHAUVINIERE ELEMENTAIRE","2011-2012",148
"CHAUVINIERE MATERNELLE","2011-2012",102
"CHENE D'ARON ELEMENTAIRE","2011-2012",132
"CHENE D'ARON MATERNELLE","2011-2012",79
"CONTRIE ELEMENTAIRE","2011-2012",180
"CONTRIE MATERNELLE","2011-2012",107
"COTE D'OR MATERNELLE","2011-2012",74
"COUDRAY ELEMENTAIRE","2011-2012",131
"COUDRAY MATERNELLE","2011-2012",105
"DERVALLIERES CHEZINE ELEMENTAIRE","2011-2012",176
"DERVALLIERES CHEZINE MATERNELLE","2011-2012",148
"DOCTEUR TEILLAIS MATERNELLE","2011-2012",148
"EMILE PEHANT ELEMENTAIRE","2011-2012",183
"EMILE PEHANT MATERNELLE","2011-2012",112
"FELLONNEAU ELEMENTAIRE","2011-2012",137
"FELLONNEAU MATERNELLE","2011-2012",115
"FONTENY MATERNELLE","2011-2012",147
"FRANCOIS DALLET ELEMENTAIRE","2011-2012",196
"FRANCOISE DOLTO PRIMAIRE","2011-2012",198
"FRATERNITE ELEMENTAIRE","2011-2012",258
"FREDUREAU MATERNELLE","2011-2012",105
"GARENNES ELEMENTAIRE","2011-2012",125
"GASTON SERPETTE ELEMENTAIRE","2011-2012",215
"GASTON SERPETTE MATERNELLE","2011-2012",118
"GAY LUSSAC PRIMAIRE","2011-2012",241
"GEORGE SAND ELEMENTAIRE","2011-2012",205
"GEORGES BRASSENS MATERNELLE","2011-2012",102
"GEORGES LAFONT MATERNELLE","2011-2012",69
"GRAND CARCOUET PRIMAIRE","2011-2012",130
"GUSTAVE ROCH ELEMENTAIRE","2011-2012",120
"GUSTAVE ROCH MATERNELLE","2011-2012",129
"HAROUYS ELEMENTAIRE","2011-2012",162
"HAROUYS MATERNELLE","2011-2012",90
"HENRI BERGSON ELEMENTAIRE","2011-2012",115
"HENRI BERGSON MATERNELLE","2011-2012",105
"JACQUES PREVERT ELEMENTAIRE","2011-2012",124
"JACQUES PREVERT MATERNELLE","2011-2012",110
"JACQUES TATI PRIMAIRE","2011-2012",193
"JEAN JAURES ELEMENTAIRE","2011-2012",125
"JEAN MOULIN ELEMENTAIRE","2011-2012",109
"JEAN MOULIN MATERNELLE","2011-2012",160
"JEAN ZAY ELEMENTAIRE","2011-2012",264
"JEAN ZAY I MATERNELLE","2011-2012",114
"JEAN ZAY II MATERNELLE","2011-2012",90
"JONELIERE PRIMAIRE","2011-2012",204
"JOSEPH BLANCHART MATERNELLE","2011-2012",97
"JULIEN GRACQ PRIMAIRE","2011-2012",185
"LAMORICIERE MATERNELLE","2011-2012",147
"LEDRU ROLLIN ELEMENTAIRE","2011-2012",312
"LEON BLUM ELEMENTAIRE","2011-2012",168
"LEON SAY ELEMENTAIRE","2011-2012",203
"LEON SAY MATERNELLE","2011-2012",118
"LINOT ELEMENTAIRE","2011-2012",111
"LINOT MATERNELLE","2011-2012",77
"LONGCHAMP PRIMAIRE","2011-2012",442
"LOUIS GUIOTTON MATERNELLE","2011-2012",83
"LOUIS PERGAUD ELEMENTAIRE","2011-2012",238
"LOUIS PERGAUD MATERNELLE","2011-2012",146
"LOUISE MICHEL ELEMENTAIRE","2011-2012",214
"LOUISE MICHEL MATERNELLE","2011-2012",150
"LUCIE AUBRAC ELEMENTAIRE","2011-2012",112
"LUCIE AUBRAC MATERNELLE","2011-2012",91
"MAISDON PAJOT MATERNELLE","2011-2012",200
"MAISON NEUVE PRIMAIRE","2011-2012",172
"MARSAUDERIES ELEMENTAIRE","2011-2012",175
"MARSAUDERIES MATERNELLE","2011-2012",127
"MARSAUDERIES bilingue ""Français/Breton""","2011-2012",169
"MAURICE MACE ELEMENTAIRE","2011-2012",316
"MAURICE MACE MATERNELLE","2011-2012",211
"MOLIERE MATERNELLE","2011-2012",125
"MUTUALITE ELEMENTAIRE","2011-2012",314
"PAUL GAUGUIN PRIMAIRE","2011-2012",244
"PAULINE KERGOMARD MATERNELLE","2011-2012",114
"PLANTES ELEMENTAIRE","2011-2012",111
"PLANTES MATERNELLE","2011-2012",93
"PLESSIS CELLIER ELEMENTAIRE","2011-2012",192
"PLESSIS CELLIER MATERNELLE","2011-2012",120
"PORT BOYER ELEMENTAIRE","2011-2012",167
"PORT BOYER MATERNELLE","2011-2012",136
"REFORMES PRIMAIRE","2011-2012",124
"RUE NOIRE PRIMAIRE","2011-2012",184
"SARAH BERNHARDT MATERNELLE","2011-2012",208
"STALINGRAD ELEMENTAIRE","2011-2012",125
"STALINGRAD MATERNELLE","2011-2012",101
"SULLY ELEMENTAIRE","2011-2012",221
"SULLY MATERNELLE","2011-2012",147
"URBAIN LE VERRIER ELEMENTAIRE","2011-2012",199
"URBAIN LE VERRIER MATERNELLE","2011-2012",163
"VILLA MARIA PRIMAIRE","2011-2012",114
"AGENETS ELEMENTAIRE","2012-2013",200
"AGENETS MATERNELLE","2012-2013",132
"AIME CESAIRE PRIMAIRE","2012-2013",83
"ALAIN FOURNIER ELEMENTAIRE","2012-2013",146
"ALAIN FOURNIER MATERNELLE","2012-2013",119
"ALPHONSE BRAUD PRIMAIRE","2012-2013",154
"AMPERE PRIMAIRE","2012-2013",265
"ANATOLE DE MONZIE ELEMENTAIRE","2012-2013",102
"ANDRE LERMITE ELEMENTAIRE","2012-2013",177
"ANGE GUEPIN ELEMENTAIRE","2012-2013",122
"BARBERIE MATERNELLE","2012-2013",79
"BARBERIE-MULOTIERE ELEMENTAIRE","2012-2013",167
"BATIGNOLLES ELEMENTAIRE","2012-2013",153
"BATIGNOLLES MATERNELLE","2012-2013",99
"BATIGNOLLES bilingue ""Français/Breton""","2012-2013",19
"BAUT ELEMENTAIRE","2012-2013",114
"BAUT MATERNELLE","2012-2013",79
"BEAUJOIRE ELEMENTAIRE","2012-2013",102
"BEAUJOIRE MATERNELLE","2012-2013",81
"BOCCAGE ELEMENTAIRE","2012-2013",135
"BOCCAGE MATERNELLE","2012-2013",83
"BOTTIERE ELEMENTAIRE","2012-2013",163
"BOTTIERE MATERNELLE","2012-2013",153
"CAMILLE CLAUDEL MATERNELLE","2012-2013",99
"CHAMPENOIS ELEMENTAIRE","2012-2013",111
"CHARLES LEBOURG PRIMAIRE","2012-2013",193
"CHATAIGNIERS ELEMENTAIRE","2012-2013",118
"CHATAIGNIERS MATERNELLE","2012-2013",93
"CHAUVINIERE ELEMENTAIRE","2012-2013",151
"CHAUVINIERE MATERNELLE","2012-2013",108
"CHENE D'ARON ELEMENTAIRE","2012-2013",133
"CHENE D'ARON MATERNELLE","2012-2013",81
"CONTRIE ELEMENTAIRE","2012-2013",186
"CONTRIE MATERNELLE","2012-2013",102
"COTE D'OR MATERNELLE","2012-2013",65
"COUDRAY ELEMENTAIRE","2012-2013",116
"COUDRAY MATERNELLE","2012-2013",99
"DERVALLIERES CHEZINE ELEMENTAIRE","2012-2013",221
"DERVALLIERES CHEZINE MATERNELLE","2012-2013",164
"DOCTEUR TEILLAIS MATERNELLE","2012-2013",138
"EMILE PEHANT ELEMENTAIRE","2012-2013",162
"EMILE PEHANT MATERNELLE","2012-2013",119
"FELLONNEAU ELEMENTAIRE","2012-2013",148
"FELLONNEAU MATERNELLE","2012-2013",104
"FONTENY MATERNELLE","2012-2013",138
"FRANCOIS DALLET ELEMENTAIRE","2012-2013",202
"FRANCOISE DOLTO PRIMAIRE","2012-2013",201
"FRATERNITE ELEMENTAIRE","2012-2013",260
"FREDUREAU MATERNELLE","2012-2013",108
"GARENNES ELEMENTAIRE","2012-2013",124
"GASTON SERPETTE ELEMENTAIRE","2012-2013",217
"GASTON SERPETTE MATERNELLE","2012-2013",107
"GAY LUSSAC PRIMAIRE","2012-2013",206
"GEORGE SAND ELEMENTAIRE","2012-2013",222
"GEORGES BRASSENS MATERNELLE","2012-2013",92
"GEORGES LAFONT MATERNELLE","2012-2013",86
"GRAND CARCOUET PRIMAIRE","2012-2013",131
"GUSTAVE ROCH ELEMENTAIRE","2012-2013",114
"GUSTAVE ROCH MATERNELLE","2012-2013",98
"HAROUYS PRIMAIRE","2012-2013",251
"HENRI BERGSON ELEMENTAIRE","2012-2013",98
"HENRI BERGSON MATERNELLE","2012-2013",114
"JACQUES PREVERT ELEMENTAIRE","2012-2013",124
"JACQUES PREVERT MATERNELLE","2012-2013",113
"JACQUES TATI PRIMAIRE","2012-2013",226
"JEAN JAURES ELEMENTAIRE","2012-2013",121
"JEAN MOULIN ELEMENTAIRE","2012-2013",111
"JEAN MOULIN MATERNELLE","2012-2013",143
"JEAN ZAY ELEMENTAIRE","2012-2013",253
"JEAN ZAY I MATERNELLE","2012-2013",118
"JEAN ZAY II MATERNELLE","2012-2013",96
"JONELIERE PRIMAIRE","2012-2013",205
"JOSEPH BLANCHART MATERNELLE","2012-2013",102
"JULIEN GRACQ PRIMAIRE","2012-2013",255
"LAMORICIERE MATERNELLE","2012-2013",148
"LEDRU ROLLIN ELEMENTAIRE","2012-2013",300
"LEON BLUM ELEMENTAIRE","2012-2013",178
"LEON SAY ELEMENTAIRE","2012-2013",199
"LEON SAY MATERNELLE","2012-2013",107
"LINOT ELEMENTAIRE","2012-2013",133
"LINOT MATERNELLE","2012-2013",90
"LONGCHAMP PRIMAIRE","2012-2013",419
"LOUIS GUIOTTON MATERNELLE","2012-2013",87
"LOUIS PERGAUD ELEMENTAIRE","2012-2013",234
"LOUIS PERGAUD MATERNELLE","2012-2013",134
"LOUISE MICHEL ELEMENTAIRE","2012-2013",205
"LOUISE MICHEL MATERNELLE","2012-2013",151
"LUCIE AUBRAC ELEMENTAIRE","2012-2013",117
"LUCIE AUBRAC MATERNELLE","2012-2013",91
"MAISDON PAJOT MATERNELLE","2012-2013",197
"MAISON NEUVE PRIMAIRE","2012-2013",193
"MARSAUDERIES ELEMENTAIRE","2012-2013",180
"MARSAUDERIES MATERNELLE","2012-2013",133
"MARSAUDERIES bilingue ""Français/Breton""","2012-2013",176
"MAURICE MACE ELEMENTAIRE","2012-2013",308
"MAURICE MACE MATERNELLE","2012-2013",200
"MOLIERE MATERNELLE","2012-2013",131
"MUTUALITE ELEMENTAIRE","2012-2013",321
"PAUL GAUGUIN PRIMAIRE","2012-2013",258
"PAULINE KERGOMARD MATERNELLE","2012-2013",107
"PLANTES ELEMENTAIRE","2012-2013",98
"PLANTES MATERNELLE","2012-2013",96
"PLESSIS CELLIER ELEMENTAIRE","2012-2013",179
"PLESSIS CELLIER MATERNELLE","2012-2013",122
"PORT BOYER ELEMENTAIRE","2012-2013",156
"PORT BOYER MATERNELLE","2012-2013",136
"REFORMES PRIMAIRE","2012-2013",123
"RUE NOIRE PRIMAIRE","2012-2013",185
"SARAH BERNHARDT MATERNELLE","2012-2013",205
"STALINGRAD ELEMENTAIRE","2012-2013",125
"STALINGRAD MATERNELLE","2012-2013",118
"SULLY ELEMENTAIRE","2012-2013",225
"SULLY MATERNELLE","2012-2013",156
"URBAIN LE VERRIER ELEMENTAIRE","2012-2013",219
"URBAIN LE VERRIER MATERNELLE","2012-2013",167
"VILLA MARIA PRIMAIRE","2012-2013",111
"AGENETS ELEMENTAIRE","2013-2014",216
"AGENETS MATERNELLE","2013-2014",131
"AIME CESAIRE PRIMAIRE","2013-2014",111
"ALAIN FOURNIER ELEMENTAIRE","2013-2014",152
"ALAIN FOURNIER MATERNELLE","2013-2014",115
"ALPHONSE BRAUD PRIMAIRE","2013-2014",157
"AMPERE PRIMAIRE","2013-2014",281
"ANATOLE DE MONZIE ELEMENTAIRE","2013-2014",113
"ANDRE LERMITE ELEMENTAIRE","2013-2014",193
"ANGE GUEPIN ELEMENTAIRE","2013-2014",113
"BARBERIE MATERNELLE","2013-2014",82
"BATIGNOLLES ELEMENTAIRE","2013-2014",167
"BATIGNOLLES MATERNELLE","2013-2014",99
"BATIGNOLLES bilingue ""Français/Breton""","2013-2014",19
"BAUT ELEMENTAIRE","2013-2014",120
"BAUT MATERNELLE","2013-2014",97
"BEAUJOIRE ELEMENTAIRE","2013-2014",111
"BEAUJOIRE MATERNELLE","2013-2014",101
"BOCCAGE ELEMENTAIRE","2013-2014",135
"BOCCAGE MATERNELLE","2013-2014",87
"BOTTIERE ELEMENTAIRE","2013-2014",179
"BOTTIERE MATERNELLE","2013-2014",171
"CAMILLE CLAUDEL MATERNELLE","2013-2014",88
"CHAMPENOIS ELEMENTAIRE","2013-2014",136
"CHARLES LEBOURG PRIMAIRE","2013-2014",213
"CHATAIGNIERS ELEMENTAIRE","2013-2014",121
"CHATAIGNIERS MATERNELLE","2013-2014",98
"CHAUVINIERE ELEMENTAIRE","2013-2014",170
"CHAUVINIERE MATERNELLE","2013-2014",114
"CHENE D'ARON ELEMENTAIRE","2013-2014",147
"CHENE D'ARON MATERNELLE","2013-2014",87
"CONTRIE ELEMENTAIRE","2013-2014",192
"CONTRIE MATERNELLE","2013-2014",104
"COTE D'OR MATERNELLE","2013-2014",56
"COUDRAY ELEMENTAIRE","2013-2014",125
"COUDRAY MATERNELLE","2013-2014",108
"DERVALLIERES CHEZINE ELEMENTAIRE","2013-2014",202
"DERVALLIERES CHEZINE MATERNELLE","2013-2014",166
